...1,ADM2_id,date_time_max_wind,vmax_sust,vmax_gust,sust_dur,gust_dur,sid,storm_id,usa_atcf_id,vmax_sust_knots,cyclone_category,year,month,day,adm2_name,adm2_merge_key
16507,2640588B80128813909947,2006-05-13T03:45:00Z,12.5426075977308,18.6884853206188,0,0,2006128N09138,Chanchu-2006,WP022006,24.380822352773038,Below Tropical Storm,2006,5,13,Tarlac,Tarlac
16508,2640588B18152609363823,2006-05-12T22:45:00Z,0.666496592958508,0.993079923508178,0,0,2006128N09138,Chanchu-2006,WP022006,1.2955627372564662,Below Tropical Storm,2006,5,12,Tawi-Tawi,Tawi-Tawi
16509,2640588B17055181338626,2006-05-13T09:00:00Z,12.4845300377707,18.6019497562783,0,0,2006128N09138,Chanchu-2006,WP022006,24.267928868620196,Below Tropical Storm,2006,5,13,Zambales,Zambales
16510,2640588B39288775379873,2006-05-11T19:15:00Z,2.63452916368808,3.92544845389525,0,0,2006128N09138,Chanchu-2006,WP022006,5.121103169543438,Below Tropical Storm,2006,5,11,Zamboanga del Norte,Zamboanga del Norte
16511,2640588B82692599034098,2006-05-11T19:00:00Z,2.95618494202677,4.40471556361988,0,0,2006128N09138,Chanchu-2006,WP022006,5.746350537709317,Below Tropical Storm,2006,5,11,Zamboanga del Sur,Zamboanga del Sur
16512,2640588B82865823535715,2006-05-11T19:15:00Z,2.47988271649509,3.69502524757768,0,0,2006128N09138,Chanchu-2006,WP022006,4.820495219631815,Below Tropical Storm,2006,5,11,Zamboanga Sibugay,Zamboanga Sibugay
16513,2640588B11393510524278,2006-06-26T07:45:00Z,3.13868923552049,4.67664696092553,0,0,2006174N08135,Jelawat-2006,WP032006,6.101109683574149,Below Tropical Storm,2006,6,26,Abra,Abra
16514,2640588B29392713909073,2006-06-24T16:30:00Z,2.85119574171038,4.24828165514847,0,0,2006174N08135,Jelawat-2006,WP032006,5.542268330566305,Below Tropical Storm,2006,6,24,Agusan del Norte,Agusan del Norte
16515,2640588B20221108717018,2006-06-24T16:30:00Z,2.37685485956866,3.54151374075731,0,0,2006174N08135,Jelawat-2006,WP032006,4.620225550223944,Below Tropical Storm,2006,6,24,Agusan del Sur,Agusan del Sur
16516,2640588B21218366338371,2006-06-25T13:30:00Z,5.69646073397685,8.4877264936255,0,0,2006174N08135,Jelawat-2006,WP032006,11.07300823313356,Below Tropical Storm,2006,6,25,Aklan,Aklan
16517,2640588B82697045094820,2006-06-25T04:45:00Z,6.0534032732528,9.01957087714667,0,0,2006174N08135,Jelawat-2006,WP032006,11.766847418679724,Below Tropical Storm,2006,6,25,Albay,Albay
16518,2640588B32523752073662,2006-06-25T13:30:00Z,5.0351317932921,7.50234637200523,0,0,2006174N08135,Jelawat-2006,WP032006,9.787490585072916,Below Tropical Storm,2006,6,25,Antique,Antique
16519,2640588B24165862747597,2006-06-26T08:15:00Z,2.40571712947999,3.58451852292518,0,0,2006174N08135,Jelawat-2006,WP032006,4.676329184968384,Below Tropical Storm,2006,6,26,Apayao,Apayao
16520,2640588B82822310999177,2006-06-26T06:00:00Z,3.55754029506164,5.30073503964184,0,0,2006174N08135,Jelawat-2006,WP032006,6.915289127152618,Below Tropical Storm,2006,6,26,Aurora,Aurora
16521,2640588B29921835743372,2006-06-25T15:30:00Z,0.886890442636418,1.32146675952826,0,0,2006174N08135,Jelawat-2006,WP032006,1.723973118014375,Below Tropical Storm,2006,6,25,Basilan,Basilan
16522,2640588B97763445928490,2006-06-26T04:45:00Z,6.68255098497653,9.95700096761502,0,0,2006174N08135,Jelawat-2006,WP032006,12.989809906636777,Below Tropical Storm,2006,6,26,Bataan,Bataan
16523,2640588B23864872837062,2006-06-26T10:00:00Z,1.14528158540733,1.70646956225693,0,0,2006174N08135,Jelawat-2006,WP032006,2.226244156978184,Below Tropical Storm,2006,6,26,Batanes,Batanes
16524,2640588B63294043497895,2006-06-25T18:45:00Z,6.4124016298293,9.55447842844566,0,0,2006174N08135,Jelawat-2006,WP032006,12.464682784127387,Below Tropical Storm,2006,6,25,Batangas,Batangas
16525,2640588B49362051778248,2006-06-26T06:30:00Z,4.02711569786602,6.00040238982037,0,0,2006174N08135,Jelawat-2006,WP032006,7.828068578139885,Below Tropical Storm,2006,6,26,Benguet,Benguet
16526,2640588B24635602844812,2006-06-25T00:00:00Z,6.96249170316983,10.374112637723,0,0,2006174N08135,Jelawat-2006,WP032006,13.533969872289642,Below Tropical Storm,2006,6,25,Biliran,Biliran
16527,2640588B19040020708567,2006-06-24T16:30:00Z,2.88906690939157,4.30470969499345,0,0,2006174N08135,Jelawat-2006,WP032006,5.6158838211517095,Below Tropical Storm,2006,6,24,Bohol,Bohol
16528,2640588B97736443103823,2006-06-24T16:30:00Z,1.79702660132083,2.67756963596804,0,0,2006174N08135,Jelawat-2006,WP032006,3.493132188711482,Below Tropical Storm,2006,6,24,Bukidnon,Bukidnon
16529,2640588B70472166839855,2006-06-26T04:45:00Z,5.26636542997193,7.84688449065817,0,0,2006174N08135,Jelawat-2006,WP032006,10.236971777396636,Below Tropical Storm,2006,6,26,Bulacan,Bulacan
16530,2640588B33083527354868,2006-06-26T09:00:00Z,2.27090551866938,3.38364922281738,0,0,2006174N08135,Jelawat-2006,WP032006,4.4142769834102875,Below Tropical Storm,2006,6,26,Cagayan,Cagayan
16531,2640588B74898440822212,2006-06-25T13:30:00Z,4.69003346777454,6.98814986698406,0,0,2006174N08135,Jelawat-2006,WP032006,9.116674655998862,Below Tropical Storm,2006,6,25,Camarines Norte,Camarines Norte
16532,2640588B57655195310467,2006-06-25T06:30:00Z,4.70510360667196,7.01060437394122,0,0,2006174N08135,Jelawat-2006,WP032006,9.145968594793223,Below Tropical Storm,2006,6,25,Camarines Sur,Camarines Sur
16533,2640588B70398489528347,2006-06-24T16:30:00Z,2.75101147999072,4.09900710518617,0,0,2006174N08135,Jelawat-2006,WP032006,5.347526155265162,Below Tropical Storm,2006,6,24,Camiguin,Camiguin
16534,2640588B34459645926333,2006-06-25T13:30:00Z,5.04224852875515,7.51295030784517,0,0,2006174N08135,Jelawat-2006,WP032006,9.80132438013541,Below Tropical Storm,2006,6,25,Capiz,Capiz
16535,2640588B14186532473464,2006-06-25T02:00:00Z,4.44951895136707,6.62978323753693,0,0,2006174N08135,Jelawat-2006,WP032006,8.649152918425365,Below Tropical Storm,2006,6,25,Catanduanes,Catanduanes
16536,2640588B43067672764099,2006-06-26T02:00:00Z,6.21579104691356,9.2615286599012,0,0,2006174N08135,Jelawat-2006,WP032006,12.082503268632456,Below Tropical Storm,2006,6,26,Cavite,Cavite
16537,2640588B97548260432831,2006-06-25T03:45:00Z,3.52195292143718,5.24770985294139,0,0,2006174N08135,Jelawat-2006,WP032006,6.846112966806448,Below Tropical Storm,2006,6,25,Cebu,Cebu
16538,2640588B50898058307541,2006-06-25T15:30:00Z,0.912792614615113,1.36006099577652,0,0,2006174N08135,Jelawat-2006,WP032006,1.7743227959934411,Below Tropical Storm,2006,6,25,City of Isabela,City of Isabela
16539,2640588B76140513385915,2006-06-24T12:00:00Z,1.81183268953218,2.69963070740295,0,0,2006174N08135,Jelawat-2006,WP032006,3.521912855220233,Below Tropical Storm,2006,6,24,Compostela Valley,Compostela Valley
16540,2640588B30235147478886,2006-06-24T16:30:00Z,1.40205056134833,2.08905533640901,0,0,2006174N08135,Jelawat-2006,WP032006,2.7253619631713377,Below Tropical Storm,2006,6,24,Cotabato,Cotabato
16541,2640588B312406433782,2006-06-24T16:30:00Z,1.23861571260907,1.84553741178751,0,0,2006174N08135,Jelawat-2006,WP032006,2.407670766798015,Below Tropical Storm,2006,6,24,Cotabato City,Cotabato City
16542,2640588B4700873759555,2006-06-24T12:30:00Z,1.79489512185628,2.67439373156586,0,0,2006174N08135,Jelawat-2006,WP032006,3.4889889336691113,Below Tropical Storm,2006,6,24,Davao del Norte,Davao del Norte
16543,2640588B9806973652018,2006-06-24T16:30:00Z,1.4677215162427,2.18690505920162,0,0,2006174N08135,Jelawat-2006,WP032006,2.8530157921332098,Below Tropical Storm,2006,6,24,Davao del Sur,Davao del Sur
16544,2640588B86868332888935,2006-06-24T11:00:00Z,1.0206765809436,1.52080810560596,0,0,2006174N08135,Jelawat-2006,WP032006,1.9840319651014076,Below Tropical Storm,2006,6,24,Davao Occidental,Davao Occidental
